device_name,x_center (µm),y_center (µm),z_center (µm),scan_angle (deg),scan_step (µm),scan_length (µm),lowest_voltage (V),highest_voltage (V),n_voltages,n_triggers_per_position,acquire_channels
TI207,-3345,1564,71538,90,1,355,55,238,11,444,"1,4"
TI206,-4755,-343,71538,90,1,355,55,238,11,444,"2,3"
